,UC,Bioma,Fogo_natural,Queima_indig_isol,Incendio,Queima_controlada,Queima_prescrita,Gestao_raio,Aceiro_negro,Area_queimada,Area_UC,`Perc_UC,Data_ult_atual,Satelite
26,PARNA DO BOQUEIRAO DA ONCA,CAATINGA,0.0,0.0,159.90241,0.0,0.0,0.0,0.0,159.90241,346908.103206,0.04609359323758638,2022-02-02,Landsat / Sentinel
27,PARNA DO JAMANXIM,AMAZONIA,0.0,0.0,1033.83,0.0,0.0,0.0,0.0,1033.83,862895.273074,0.1198094406424383,2022-02-02,Landsat / Sentinel
28,PARNA DOS CAMPOS AMAZONICOS,AMAZONIA,0.0,0.0,27950.969274,0.0,0.0,0.0,0.0,27950.969274,961326.649146,2.9075412919043075,2022-02-02,Modis
29,PARNA DOS CAMPOS FERRUGINOSOS,AMAZONIA,0.0,0.0,649.04,0.0,0.0,0.0,0.0,649.04,79086.037728,0.8206758343770342,2022-02-02,Landsat / Sentinel
30,PARNA E HISTORICO DO MONTE PASCOAL,MATA ATLANTICA,0.0,0.0,830.59,0.0,0.0,0.0,0.0,830.59,22239.844378,3.7346933993010873,2022-02-02,Landsat / Sentinel
31,PARNA GRANDE SERTAO VEREDAS,CERRADO,0.0,0.0,262.941088,563.822126,0.0,0.0,0.0,826.7632140000001,230856.142936,0.3581291810065469,2022-02-02,Landsat / Sentinel
32,PARNA MAPINGUARI,AMAZONIA,0.0,0.0,434.977,0.0,0.0,16366.280114,0.0,16801.257114,1776925.02564,0.9455242551918388,2022-02-02,Landsat / Sentinel
33,REBIO DA CONTAGEM,CERRADO,0.0,0.0,1651.067884,0.0,294.770216,0.0,0.0,1945.8381,3411.716893,57.03398497080397,2022-02-02,Landsat / Sentinel
34,REBIO DA MATA ESCURA,MATA ATLANTICA,0.0,0.0,921.387173,0.0,0.0,0.0,0.0,921.387173,50892.387972,1.8104616617851166,2022-02-02,Landsat / Sentinel
35,REBIO DE PEDRA TALHADA,MATA ATLANTICA,0.0,0.0,9.954355,0.0,0.0,0.0,0.0,9.954355,4382.372324,0.22714535105757935,2022-02-02,Landsat / Sentinel
36,REBIO DO GUAPORE,AMAZONIA,0.0,5861.313268,3599.475885,0.0,0.0,0.0,0.0,9460.789153,615776.329408,1.536400264377731,2022-02-02,Landsat / Sentinel
37,REBIO NASCENTES DA SERRA DO CACHIMBO,AMAZONIA,0.0,0.0,5855.618579,0.0,0.0,0.0,0.0,5855.618579,342195.772904,1.7111896296400895,2022-02-02,Landsat / Sentinel
38,RESEX CHICO MENDES,AMAZONIA,0.0,0.0,345.56,0.0,0.0,0.0,0.0,345.56,931542.942181,0.03709544502489046,2022-02-02,Landsat / Sentinel
39,RESEX DE CASSURUBA,MATA ATLANTICA,0.0,0.0,245.760115,0.0,0.0,0.0,0.0,245.760115,100578.378003,0.24434686647329865,2022-02-02,Landsat / Sentinel
40,RESEX DE RECANTO DAS ARARAS DE TERRA RONCA,CERRADO,0.0,0.0,3982.085572,0.0,0.0,0.0,0.0,3982.085572,12349.329807,32.24535771765383,2022-02-02,Landsat / Sentinel
41,RESEX DO RIO CAJARI,AMAZONIA,0.0,0.0,4931.07399,0.0,0.0,0.0,0.0,4931.07399,532404.510529,0.9261893715176188,2022-02-02,Modis
42,REVIS DAS VEREDAS DO OESTE BAIANO,CERRADO,0.0,0.0,52223.35,0.0,0.0,0.0,0.0,52223.35,128050.552604,40.78338510689775,2022-02-02,Landsat / Sentinel
43,REVIS DO RIO DOS FRADES,MATA ATLANTICA,0.0,0.0,38.931387,0.0,0.0,0.0,0.0,38.931387,898.678398,4.332071082006802,2022-02-02,Landsat / Sentinel
